date_of_sale,product,price,product_type
2023-09-17,Samsung Galaxy Tab S8,2499,Tablet
2023-02-13,Apple Watch Series 9,1099,Smartwatch
2023-06-30,Garmin Venu 3,749,Smartwatch
2023-03-10,Asus ROG Phone 6,349,Cellphone
2024-08-01,iPhone 15,499,Cellphone
2024-07-11,HP Spectre x360,799,Laptop
2023-03-02,iPhone 15,1199,Cellphone
2023-01-13,Asus ROG Phone 6,1199,Cellphone
2024-02-23,Sony WH-1000XM5,849,Headphones
2023-08-30,Microsoft Surface Laptop 5,1199,Laptop
2023-06-20,Samsung Galaxy Tab S8,499,Tablet
2023-08-29,Fitbit Charge 6,1999,Smartwatch
2023-03-12,Oculus Quest 3,299,VR Headset
2023-05-16,Galaxy S23,2499,Cellphone
2023-03-05,Surface Pro 9,799,Laptop
2023-10-27,Galaxy S23,1199,Cellphone
2023-09-02,Surface Pro 9,1199,Laptop
2023-01-27,Fitbit Charge 6,179,Smartwatch
2023-09-13,HP Spectre x360,599,Laptop
2024-04-13,Oculus Quest 3,1249,VR Headset
2023-07-19,iPhone 15,849,Cellphone
2023-01-22,Fitbit Charge 6,999,Smartwatch
2024-08-26,Oculus Quest 3,1399,VR Headset
2024-02-23,Samsung Galaxy Tab S8,799,Tablet
2023-10-30,HP Spectre x360,349,Laptop
2023-04-02,Apple Watch Series 9,1999,Smartwatch
2023-03-13,iPhone 15,799,Cellphone
2023-11-25,Asus ROG Phone 6,1199,Cellphone
2023-01-23,iPhone 15,1349,Cellphone
2023-04-02,Asus ROG Phone 6,1999,Cellphone
2024-08-21,Fitbit Charge 6,1399,Smartwatch
2023-08-17,Dell XPS 13,849,Laptop
2023-06-15,Pixel 8,349,Cellphone
2024-04-23,Galaxy S23,179,Cellphone
2024-05-15,iPad Air 5,349,Tablet
2023-09-15,iPad Air 5,1249,Tablet
2023-01-26,Garmin Venu 3,1099,Smartwatch
2024-08-27,Surface Pro 9,599,Laptop
2023-06-28,Lenovo Yoga 7i,1099,Laptop
2024-02-18,Microsoft Surface Laptop 5,849,Laptop
2023-08-02,OnePlus 12,999,Cellphone
2023-01-01,Oculus Quest 3,999,VR Headset
2024-10-07,MacBook Pro 14,849,Laptop
2023-03-10,Garmin Venu 3,1399,Smartwatch
2023-01-31,Lenovo Yoga 7i,2499,Laptop
2023-12-01,Fitbit Charge 6,799,Smartwatch
2024-04-02,Apple Watch Series 9,299,Smartwatch
2023-09-03,Sony WH-1000XM5,749,Headphones
2023-10-07,Asus ROG Phone 6,1099,Cellphone
2023-03-07,Apple Watch Series 9,1099,Smartwatch
